city,locality,pincode,property_type,area,carpet_area,bhk,bedrooms,bathrooms,balconies,floor,total_floors,property_age,parking,furnished,property_condition,latitude,longitude,amenities_count,has_parking,has_lift,has_security,has_gym,has_swimming_pool,has_garden,has_clubhouse,has_power_backup,has_cctv,has_internet,has_water_supply,has_ac,price
Mumbai,Thane West,400037,Apartment,1586,1309,3,3,4,2,1,7,25,3,Unfurnished,Good,19.219671,72.977175,7,1,0,0,0,1,1,0,1,1,0,1,1,16560000
Mumbai,Andheri West,400030,Villa,697,582,2,2,1,1,0,3,1,1,Semi-Furnished,New,19.130541,72.824015,6,1,1,0,0,0,1,0,1,1,0,0,1,27730000
Bengaluru,Sarjapur Road,560012,Apartment,615,515,1,1,1,0,3,4,0,0,Semi-Furnished,Good,12.896196,77.687593,5,0,0,0,1,1,1,0,0,1,0,1,0,5400000
Kolkata,Jadavpur,700006,Apartment,834,706,2,2,2,2,26,28,5,1,Unfurnished,Good,22.502893,88.379248,8,1,1,1,1,0,1,0,0,1,0,1,1,6390000
Kolkata,Ballygunge,700044,Apartment,806,643,2,2,2,1,3,7,18,1,Unfurnished,Average,22.525526,88.36765,7,1,1,1,0,0,0,1,1,1,0,1,0,8570000
Mumbai,Thane West,400029,Apartment,1279,1106,3,3,3,0,22,22,5,1,Semi-Furnished,Good,19.216815,72.969249,8,1,1,1,1,0,0,0,1,1,0,1,1,19170000
Delhi NCR,Indirapuram (Ghaziabad),110046,Apartment,1088,920,2,2,3,2,11,35,1,1,Semi-Furnished,New,28.65085,77.374424,7,0,1,1,0,1,1,0,1,1,1,0,0,9510000
Pune,Hadapsar,411037,Apartment,1491,1189,3,3,2,1,8,28,18,1,Unfurnished,Good,18.503739,73.928791,4,0,1,1,0,0,0,0,0,1,0,1,0,10190000
Pune,Hinjewadi,411005,Independent House,943,761,2,2,2,2,0,3,8,1,Unfurnished,Good,18.603817,73.717942,10,1,1,1,0,1,1,0,1,1,1,1,1,8360000
Mumbai,Thane West,400031,Apartment,1421,1109,3,3,2,0,16,28,2,2,Fully Furnished,Average,19.215908,72.978834,10,1,1,1,0,1,1,1,1,1,0,1,1,21450000
Chennai,Adyar,600006,Villa,1344,1105,3,3,2,1,0,3,8,1,Semi-Furnished,Good,13.004057,80.268323,7,1,1,0,1,0,1,0,1,0,1,0,1,25410000
Delhi NCR,Golf Course Road (Gurugram),110026,Independent House,1794,1426,4,4,4,1,0,3,0,1,Semi-Furnished,New,28.455486,77.101723,6,1,0,1,0,0,1,0,0,1,1,1,0,45790000
Pune,Wakad,411043,Apartment,1266,1088,3,3,3,1,4,18,3,0,Semi-Furnished,Good,18.602806,73.769577,10,1,1,1,1,1,1,1,0,1,1,1,0,12210000
Mumbai,Kandivali East,400014,Independent House,829,715,2,2,2,2,0,1,0,2,Unfurnished,New,19.203579,72.865563,8,1,1,1,0,1,1,0,1,0,0,1,1,16320000
Nagpur,Khamla,440046,Apartment,1474,1163,3,3,4,3,2,35,1,1,Semi-Furnished,New,21.117088,79.058041,9,1,1,1,0,1,0,1,1,1,1,1,0,11110000
Mumbai,Borivali West,400018,Independent House,707,572,2,2,2,1,0,1,2,1,Semi-Furnished,New,19.227335,72.853958,8,1,1,1,0,0,0,1,1,1,1,1,0,16220000
Chennai,Besant Nagar,600008,Apartment,563,447,1,1,2,1,2,4,3,1,Fully Furnished,Good,13.003432,80.281789,6,0,1,1,1,0,1,0,0,0,1,1,0,10320000
Chennai,Velachery,600016,Apartment,994,830,2,2,1,2,3,14,0,1,Semi-Furnished,New,12.980904,80.20265,9,1,1,1,0,1,1,1,0,1,0,1,1,10540000
Hyderabad,Kondapur,500038,Independent House,586,500,1,1,1,2,0,3,3,1,Unfurnished,Good,17.489606,78.356261,6,1,0,0,0,1,1,0,1,1,1,0,0,6010000
Bengaluru,Indiranagar,560013,Plot,3553,3553,0,0,0,0,0,0,2,0,Unfurnished,Average,12.978122,77.631451,2,0,0,1,0,0,0,0,0,0,0,1,0,44440000
Bengaluru,Hebbal,560002,Villa,1078,891,2,2,3,3,0,1,2,1,Unfurnished,New,13.042128,77.589725,5,1,0,0,0,0,1,1,1,1,0,0,0,16060000
Hyderabad,Manikonda,500009,Apartment,433,370,1,1,1,0,29,35,1,1,Fully Furnished,New,17.408895,78.406924,7,1,1,0,0,1,1,0,1,1,0,0,1,4400000
Hyderabad,Jubilee Hills,500033,Apartment,1257,1011,3,3,3,3,31,35,3,1,Fully Furnished,Good,17.432697,78.403272,6,0,0,1,0,1,0,1,0,1,1,1,0,24720000
Delhi NCR,Vasant Kunj (Delhi),110008,Apartment,961,843,2,2,3,3,7,22,1,1,Fully Furnished,New,28.511502,77.159789,5,1,1,0,0,0,0,0,1,0,1,0,1,22500000
Delhi NCR,Vasant Kunj (Delhi),110042,Apartment,2685,2270,4,4,3,2,28,28,0,1,Fully Furnished,New,28.513734,77.153424,8,1,1,0,0,0,1,1,1,1,0,1,1,75870000
Hyderabad,Kondapur,500042,Plot,3858,3858,0,0,0,0,0,0,0,0,Unfurnished,Average,17.460053,78.35962,1,0,0,0,0,0,0,0,0,0,0,1,0,28160000
Hyderabad,HITEC City,500031,Apartment,994,804,3,3,2,1,2,22,2,0,Semi-Furnished,New,17.444977,78.379279,8,0,1,1,0,0,1,0,1,1,1,1,1,12830000
Chennai,OMR (Thoraipakkam),600033,Apartment,1632,1410,4,4,4,3,15,18,0,1,Semi-Furnished,New,12.932436,80.241176,7,1,1,0,1,0,0,1,1,1,0,1,0,15190000
Delhi NCR,Sector 150 (Noida),110036,Independent House,992,792,2,2,2,2,0,3,1,2,Semi-Furnished,New,28.457772,77.47256,7,1,1,0,1,0,1,0,1,0,1,0,1,12660000
Delhi NCR,Greater Noida West,110045,Apartment,2210,1888,4,4,4,2,19,35,1,0,Fully Furnished,New,28.584285,77.449926,4,0,0,1,0,0,0,1,0,1,0,1,0,16730000
Mumbai,Thane West,400031,Independent House,1649,1290,4,4,3,2,0,2,12,1,Fully Furnished,Good,19.223552,72.970303,5,1,0,0,0,0,1,0,1,0,1,0,1,27810000
Pune,Kalyani Nagar,411031,Apartment,1691,1401,3,3,3,3,7,7,2,2,Unfurnished,New,18.539735,73.911007,6,1,0,0,1,0,0,0,1,1,1,1,0,24250000
Nagpur,Civil Lines,440003,Apartment,1607,1412,3,3,2,1,8,22,8,1,Fully Furnished,Good,21.170174,79.067037,6,1,1,1,0,0,0,1,0,0,0,1,1,15100000
Mumbai,Powai,400032,Independent House,797,642,2,2,2,1,0,1,0,1,Unfurnished,New,19.111074,72.905383,5,1,1,0,0,1,0,0,0,0,1,0,1,22160000
Delhi NCR,Dwarka (Delhi),110029,Independent House,997,809,2,2,3,1,0,1,0,0,Semi-Furnished,New,28.598717,77.046104,5,1,1,0,1,0,1,0,1,0,0,0,0,16830000
Pune,Wakad,411044,Apartment,1333,1096,3,3,4,3,3,7,5,1,Unfurnished,Average,18.620461,73.773805,9,1,1,1,1,0,0,0,1,1,1,1,1,10090000
Chennai,T Nagar,600044,Villa,1130,921,3,3,3,0,0,2,3,1,Semi-Furnished,Good,13.04566,80.232312,3,1,0,1,0,0,0,0,0,0,0,0,1,24660000
Delhi NCR,Sector 150 (Noida),110041,Apartment,1030,822,2,2,2,2,1,22,0,1,Unfurnished,Good,28.454417,77.471226,5,0,1,1,0,0,1,0,1,0,0,0,1,9010000
Nagpur,Dharampeth,440002,Apartment,1287,1039,3,3,4,0,27,35,5,0,Semi-Furnished,Good,21.151251,79.062413,11,1,1,1,1,1,0,1,1,1,1,1,1,12130000
Bengaluru,Sarjapur Road,560029,Apartment,979,802,2,2,2,0,3,22,5,1,Semi-Furnished,New,12.913383,77.677929,9,1,1,1,0,1,1,0,1,0,1,1,1,9390000
Delhi NCR,Sector 62 (Noida),110042,Apartment,959,769,2,2,1,3,11,18,8,0,Semi-Furnished,Good,28.617856,77.364862,10,1,1,1,0,0,1,1,1,1,1,1,1,8430000
Bengaluru,JP Nagar,560004,Independent House,1135,935,2,2,2,2,0,1,2,1,Semi-Furnished,New,12.91473,77.574679,6,1,1,0,1,0,1,0,0,1,0,1,0,14010000
Pune,Magarpatta,411042,Apartment,1038,856,2,2,3,0,1,10,8,2,Fully Furnished,New,18.51991,73.93132,6,1,1,1,0,0,0,0,0,1,0,1,1,13660000
Hyderabad,HITEC City,500035,Apartment,1543,1254,3,3,4,2,5,18,3,0,Semi-Furnished,Needs Renovation,17.452585,78.384832,7,1,1,1,0,1,1,0,0,1,0,1,0,15230000
Nagpur,Khamla,440041,Apartment,547,478,1,1,1,2,6,14,2,1,Unfurnished,New,21.121072,79.051817,6,0,1,1,0,0,1,0,0,1,1,1,0,3850000
Delhi NCR,Sohna Road (Gurugram),110014,Independent House,529,444,1,1,1,2,0,2,5,2,Unfurnished,Good,28.395655,77.060517,2,0,0,0,1,0,0,0,0,0,0,0,1,4750000
Delhi NCR,Sohna Road (Gurugram),110026,Villa,651,568,1,1,2,2,0,3,5,1,Unfurnished,New,28.382098,77.038225,5,1,0,0,0,1,0,0,0,0,1,1,1,8130000
Kolkata,Ballygunge,700017,Apartment,960,752,2,2,1,2,3,10,12,1,Fully Furnished,Average,22.519378,88.359278,9,1,1,0,1,1,1,0,1,1,0,1,1,12830000
Pune,Magarpatta,411025,Apartment,503,428,1,1,2,0,2,4,1,0,Semi-Furnished,New,18.517532,73.927565,7,1,1,1,0,0,0,0,1,1,0,1,1,5470000
Mumbai,Bandra West,400034,Apartment,803,629,1,1,1,1,5,22,3,2,Unfurnished,Average,19.064671,72.813299,8,1,1,1,0,1,0,0,1,1,1,1,0,33670000
Pune,Kalyani Nagar,411013,Apartment,510,441,1,1,1,2,2,22,1,0,Semi-Furnished,Good,18.553119,73.89696,6,1,0,1,0,0,1,0,1,1,0,1,0,7040000
Bengaluru,Bellandur,560045,Apartment,1036,825,2,2,2,2,28,35,2,1,Semi-Furnished,Good,12.932926,77.666598,8,1,1,1,0,1,0,0,1,1,1,1,0,11610000
Delhi NCR,Golf Course Road (Gurugram),110030,Apartment,868,679,2,2,2,2,19,28,0,1,Semi-Furnished,New,28.454273,77.108524,8,1,1,1,0,1,0,1,1,1,0,1,0,20790000
Mumbai,Goregaon West,400034,Apartment,1623,1404,4,4,5,2,2,7,2,2,Semi-Furnished,New,19.171943,72.857677,7,1,1,1,1,1,0,0,0,1,0,1,0,38160000
Mumbai,Borivali West,400024,Independent House,690,576,2,2,3,1,0,2,2,2,Semi-Furnished,New,19.226826,72.866835,3,1,1,0,0,0,0,0,1,0,0,0,0,15160000
Mumbai,Kandivali East,400039,Apartment,1025,852,2,2,2,3,1,4,1,1,Fully Furnished,New,19.212397,72.861285,9,0,1,1,1,1,0,1,1,1,1,1,0,20730000
Mumbai,Goregaon West,400030,Independent House,583,457,3,3,2,1,0,1,3,1,Semi-Furnished,Average,19.156405,72.838679,5,1,0,0,0,1,0,0,0,0,1,1,1,12330000
Pune,Aundh,411012,Apartment,1811,1436,3,3,3,2,13,22,2,1,Semi-Furnished,New,18.551159,73.80518,10,1,1,1,1,1,0,1,0,1,1,1,1,26660000
Bengaluru,Yelahanka,560038,Apartment,2644,2195,4,4,5,1,4,7,18,1,Semi-Furnished,Good,13.089213,77.605605,8,1,0,1,1,1,0,1,0,1,0,1,1,16940000
Bengaluru,Bellandur,560041,Apartment,477,378,1,1,2,0,4,18,0,1,Fully Furnished,New,12.929697,77.677792,8,1,1,1,0,1,1,0,0,1,1,0,1,5770000
Pune,Hadapsar,411034,Plot,3828,3828,0,0,0,0,0,0,2,0,Unfurnished,Average,18.509458,73.922817,1,0,0,0,0,0,0,0,0,0,0,1,0,23710000
Bengaluru,JP Nagar,560045,Apartment,1566,1312,3,3,3,2,4,7,8,1,Semi-Furnished,New,12.918988,77.575797,6,1,0,1,0,0,0,0,1,1,0,1,1,17630000
Mumbai,Goregaon West,400036,Villa,376,309,1,1,1,3,0,2,2,1,Semi-Furnished,New,19.163386,72.845407,3,1,0,0,0,0,0,0,1,1,0,0,0,11000000
Pune,Viman Nagar,411011,Apartment,843,736,2,2,2,2,8,18,25,2,Semi-Furnished,Average,18.566235,73.910356,7,1,1,1,0,0,1,0,1,0,1,1,0,6960000
Mumbai,Juhu,400002,Villa,668,553,1,1,2,2,0,3,1,1,Fully Furnished,New,19.110356,72.820757,4,1,0,0,1,0,0,0,1,0,0,1,0,43980000
Kolkata,New Town (Action Area 1),700020,Apartment,2216,1942,4,4,5,3,13,14,1,1,Fully Furnished,New,22.601503,88.477037,7,1,1,1,0,0,1,0,1,0,0,1,1,19820000
Delhi NCR,Golf Course Road (Gurugram),110027,Apartment,1258,1047,3,3,3,2,35,35,12,0,Semi-Furnished,Good,28.465478,77.099283,8,0,1,1,0,0,1,1,1,1,1,1,0,24290000
Delhi NCR,Rohini (Delhi),110021,Apartment,970,787,2,2,1,2,8,10,1,1,Unfurnished,Good,28.720221,77.105267,8,0,1,1,1,0,0,1,1,1,1,1,0,10130000
Hyderabad,Kondapur,500037,Apartment,915,782,2,2,2,3,8,10,3,1,Semi-Furnished,Good,17.468159,78.36659,10,1,1,1,1,0,0,1,1,1,1,1,1,9260000
Chennai,Velachery,600029,Apartment,1089,923,2,2,2,0,8,35,5,1,Fully Furnished,Good,12.991944,80.218168,8,1,1,1,0,0,0,0,1,1,1,1,1,11500000
Pune,Baner,411036,Apartment,547,449,1,1,1,3,3,4,5,2,Fully Furnished,Good,18.561593,73.785759,7,1,0,1,0,0,1,0,1,1,0,1,1,6400000
Pune,Hinjewadi,411040,Independent House,1051,868,2,2,1,1,0,2,5,1,Semi-Furnished,Good,18.584754,73.755639,7,1,1,1,0,0,1,0,1,0,0,1,1,9150000
Nagpur,Trimurti Nagar,440005,Apartment,1641,1318,4,4,4,1,15,28,1,2,Unfurnished,New,21.127265,79.045333,9,1,1,1,1,0,0,1,1,1,0,1,1,12630000
Bengaluru,JP Nagar,560028,Villa,2337,1833,4,4,5,0,0,2,1,1,Semi-Furnished,New,12.906202,77.578522,9,1,0,1,1,0,1,1,0,1,1,1,1,36010000
Bengaluru,Whitefield,560009,Apartment,834,658,2,2,2,1,24,35,5,1,Semi-Furnished,Good,12.977601,77.748824,4,1,0,1,0,0,0,0,0,1,0,1,0,7780000
Hyderabad,Miyapur,500011,Villa,1319,1101,3,3,3,3,0,1,8,1,Semi-Furnished,Good,17.500103,78.35689,6,1,0,0,1,0,1,0,0,1,1,0,1,10490000
Nagpur,Pratap Nagar,440036,Villa,1461,1168,3,3,4,2,0,1,1,1,Unfurnished,New,21.12296,79.044944,5,0,1,0,0,0,0,0,1,1,1,0,1,13950000
Kolkata,Salt Lake (Sector V),700020,Apartment,1458,1157,3,3,2,1,4,4,3,0,Unfurnished,Good,22.568415,88.41874,8,1,1,1,0,0,0,1,1,1,1,1,0,11970000
Nagpur,Khamla,440026,Independent House,2019,1604,4,4,3,1,0,3,0,1,Fully Furnished,New,21.117487,79.069803,4,1,1,0,0,0,1,0,0,0,0,0,1,19220000
Pune,Aundh,411022,Apartment,563,475,1,1,1,1,28,35,1,3,Fully Furnished,Good,18.562448,73.80068,6,0,1,0,0,0,1,0,1,1,0,1,1,8820000
Nagpur,Civil Lines,440040,Apartment,1327,1109,3,3,4,1,6,18,3,2,Semi-Furnished,Good,21.157582,79.062382,9,1,1,1,0,1,0,1,1,1,1,1,0,13540000
Pune,Kharadi,411030,Apartment,1212,1012,2,2,3,3,6,14,2,1,Semi-Furnished,New,18.55073,73.938314,9,0,1,1,1,1,1,0,1,1,1,1,0,13540000
Pune,Viman Nagar,411033,Apartment,538,421,1,1,2,3,4,28,2,0,Semi-Furnished,New,18.569693,73.914401,9,1,1,1,1,0,0,0,1,1,1,1,1,6870000
Mumbai,Andheri East,400040,Apartment,817,714,2,2,3,1,9,22,5,1,Semi-Furnished,Good,19.113796,72.873684,7,1,1,1,0,0,0,0,1,1,0,1,1,17810000
Chennai,Velachery,600006,Apartment,1114,976,2,2,3,2,16,18,8,1,Semi-Furnished,Average,12.998725,80.211861,7,1,0,1,0,1,0,1,1,0,1,1,0,10070000
Delhi NCR,Dwarka (Delhi),110044,Apartment,981,835,2,2,2,2,5,18,8,0,Fully Furnished,Good,28.609618,77.039534,4,1,1,0,0,0,0,0,0,1,0,1,0,11770000
Hyderabad,Jubilee Hills,500011,Apartment,517,403,1,1,2,2,4,28,1,1,Semi-Furnished,New,17.414909,78.403094,7,1,1,1,0,0,0,0,1,1,1,0,1,9990000
Pune,Kharadi,411027,Apartment,975,803,2,2,3,2,7,35,5,1,Semi-Furnished,Average,18.554334,73.950109,8,1,1,1,0,1,0,1,1,1,0,0,1,9310000
Bengaluru,Whitefield,560041,Apartment,851,714,2,2,1,0,8,14,2,1,Unfurnished,Good,12.962613,77.753935,6,0,1,1,0,1,1,0,1,0,0,1,0,7310000
Pune,Baner,411022,Apartment,1861,1476,3,3,3,2,6,7,0,1,Unfurnished,New,18.568436,73.783047,8,1,1,1,1,1,0,0,1,0,0,1,1,19700000
Delhi NCR,Indirapuram (Ghaziabad),110033,Apartment,1181,1017,2,2,1,3,4,10,18,1,Semi-Furnished,Average,28.639084,77.384903,10,1,1,1,1,1,0,1,1,1,1,1,0,6460000
Bengaluru,Koramangala,560041,Apartment,847,706,2,2,2,0,4,4,25,0,Fully Furnished,Average,12.935242,77.624876,6,1,0,1,0,0,1,0,0,1,0,1,1,9240000
Bengaluru,Whitefield,560017,Apartment,1556,1257,3,3,3,1,18,22,3,1,Semi-Furnished,Good,12.961259,77.748861,3,1,0,0,0,1,0,0,0,0,0,1,0,14930000
Mumbai,Powai,400031,Independent House,1529,1280,3,3,4,3,0,1,1,1,Semi-Furnished,New,19.123293,72.897003,5,0,1,0,1,0,1,0,1,1,0,0,0,40810000
Bengaluru,Bellandur,560029,Independent House,1721,1484,3,3,4,2,0,2,2,1,Semi-Furnished,New,12.928659,77.670212,5,1,0,0,0,0,1,0,0,1,0,1,1,22910000
Mumbai,Andheri East,400023,Villa,969,790,2,2,2,1,0,3,0,1,Semi-Furnished,New,19.123034,72.87024,6,1,0,0,0,1,1,1,1,0,0,0,1,31360000
Delhi NCR,Dwarka (Delhi),110028,Independent House,1250,1066,2,2,2,3,0,1,0,1,Fully Furnished,New,28.590108,77.053773,5,0,0,1,0,1,0,1,1,0,0,0,1,22100000
Bengaluru,Hebbal,560027,Independent House,722,605,1,1,1,2,0,1,2,2,Semi-Furnished,New,13.028081,77.602488,3,1,1,0,0,0,0,0,0,0,1,0,0,9800000
Mumbai,Bandra West,400018,Independent House,956,756,3,3,3,3,0,2,2,1,Semi-Furnished,Average,19.050134,72.813186,4,0,0,1,0,0,1,0,0,0,0,1,1,46510000
Mumbai,Bandra West,400017,Villa,1072,881,2,2,2,0,0,2,2,1,Semi-Furnished,New,19.071619,72.830093,6,1,1,0,0,1,1,0,0,0,0,1,1,75320000
Nagpur,Dharampeth,440029,Villa,435,371,1,1,1,2,0,3,5,0,Semi-Furnished,Good,21.130773,79.060256,5,1,0,0,0,0,1,1,0,1,0,0,1,5080000
Mumbai,Andheri West,400004,Apartment,3181,2595,5,5,4,3,33,35,2,1,Semi-Furnished,New,19.11976,72.826987,10,1,1,1,1,1,1,0,1,1,1,1,0,95300000
Bengaluru,Sarjapur Road,560041,Apartment,1064,869,2,2,2,2,5,7,3,2,Unfurnished,Average,12.913233,77.677481,7,0,0,1,0,1,0,0,1,1,1,1,1,8420000
Mumbai,Powai,400019,Apartment,768,599,2,2,2,0,3,14,2,1,Semi-Furnished,Good,19.117099,72.913641,6,0,0,1,0,0,0,1,1,1,1,1,0,17090000
Nagpur,Civil Lines,440014,Villa,1036,816,2,2,2,3,0,3,0,0,Fully Furnished,New,21.150758,79.062657,8,1,0,0,1,1,1,0,1,0,1,1,1,15590000
Mumbai,Goregaon West,400005,Apartment,471,373,1,1,2,3,14,22,2,2,Semi-Furnished,New,19.160171,72.831117,5,0,1,1,0,0,0,1,0,1,0,0,1,11980000
Hyderabad,Kondapur,500006,Independent House,956,817,2,2,3,3,0,3,1,1,Fully Furnished,New,17.464302,78.359512,6,1,0,0,1,0,1,0,1,0,1,0,1,11840000
Mumbai,Navi Mumbai - Vashi,400037,Independent House,556,486,1,1,1,1,0,1,0,2,Semi-Furnished,Good,19.082013,73.00466,5,1,1,0,0,0,1,0,1,0,0,0,1,10120000
Bengaluru,Koramangala,560032,Apartment,851,748,2,2,2,0,11,14,3,0,Semi-Furnished,Good,12.933,77.606085,8,1,1,1,0,0,1,1,1,1,0,1,0,12560000
Bengaluru,JP Nagar,560036,Plot,1453,1453,0,0,0,0,0,0,0,0,Unfurnished,Average,12.917235,77.59886,0,0,0,0,0,0,0,0,0,0,0,0,0,11090000
Delhi NCR,Golf Course Road (Gurugram),110016,Independent House,2317,1848,4,4,5,2,0,1,3,2,Semi-Furnished,Average,28.46199,77.119031,4,1,0,0,0,0,1,0,0,0,1,0,1,50860000
Bengaluru,Indiranagar,560029,Apartment,566,493,1,1,1,2,6,22,8,1,Unfurnished,Good,12.970756,77.627948,8,0,1,1,0,0,1,0,1,1,1,1,1,8350000
Delhi NCR,Vasant Kunj (Delhi),110006,Apartment,820,664,2,2,2,2,7,10,5,0,Semi-Furnished,Average,28.508622,77.150827,4,0,1,0,0,1,0,0,0,1,0,0,1,14540000
Mumbai,Powai,400045,Apartment,2737,2207,4,4,3,2,1,35,1,0,Semi-Furnished,New,19.124653,72.905936,8,1,1,1,0,0,1,1,1,1,1,0,0,73420000
Mumbai,Navi Mumbai - Vashi,400015,Apartment,1419,1241,3,3,3,1,9,22,0,1,Semi-Furnished,Good,19.07021,73.010785,7,1,0,1,0,0,1,1,0,1,0,1,1,23900000
Kolkata,Alipore,700027,Independent House,1138,914,3,3,3,2,0,2,0,1,Fully Furnished,New,22.529477,88.322995,8,1,0,1,0,0,1,1,1,1,1,0,1,27170000
Bengaluru,Electronic City,560036,Apartment,1633,1304,3,3,3,2,12,28,0,1,Semi-Furnished,Good,12.855175,77.665811,8,1,1,1,1,0,0,1,0,1,1,1,0,12530000
Hyderabad,Miyapur,500042,Apartment,838,713,2,2,2,1,28,28,3,2,Fully Furnished,Good,17.492903,78.356661,7,1,1,1,1,0,0,0,1,1,0,1,0,6460000
Mumbai,Goregaon West,400020,Apartment,2118,1736,4,4,3,1,18,28,1,1,Semi-Furnished,Good,19.157952,72.842864,7,0,1,1,1,1,1,0,0,0,0,1,1,48080000
Delhi NCR,Greater Noida West,110046,Villa,909,752,2,2,3,0,0,3,0,1,Semi-Furnished,New,28.582739,77.430386,8,1,1,0,0,1,1,1,1,1,0,1,0,8700000
Hyderabad,Banjara Hills,500014,Apartment,3488,2931,5,5,6,2,14,18,0,1,Fully Furnished,New,17.40778,78.436495,9,1,1,1,1,0,1,0,1,1,0,1,1,79320000
Delhi NCR,Sector 62 (Noida),110012,Apartment,405,349,1,1,1,2,12,18,3,1,Unfurnished,New,28.631347,77.356699,8,1,1,1,0,0,1,1,0,1,0,1,1,3840000
Delhi NCR,Sector 62 (Noida),110018,Independent House,1207,990,3,3,3,2,0,3,0,2,Semi-Furnished,New,28.612561,77.34898,5,0,0,0,1,1,0,0,0,0,1,1,1,13240000
Mumbai,Juhu,400017,Apartment,1465,1217,3,3,4,0,1,7,5,2,Semi-Furnished,Good,19.100265,72.831409,8,1,1,1,1,0,0,0,1,1,0,1,1,55650000
Delhi NCR,Indirapuram (Ghaziabad),110013,Apartment,938,755,2,2,2,1,19,35,2,1,Unfurnished,Good,28.630312,77.369785,7,1,1,1,1,0,0,0,1,1,0,1,0,7140000
Mumbai,Navi Mumbai - Vashi,400021,Apartment,802,654,2,2,2,2,2,7,5,1,Semi-Furnished,Good,19.074024,73.00665,4,1,1,0,0,0,0,0,1,0,0,0,1,11420000
Pune,Hinjewadi,411027,Apartment,1092,886,2,2,3,0,10,35,5,2,Semi-Furnished,Good,18.582262,73.743138,9,1,1,1,1,0,1,0,1,1,1,1,0,9690000
Pune,Aundh,411029,Apartment,350,299,1,1,1,2,3,4,3,0,Unfurnished,Good,18.556225,73.813317,8,1,0,1,1,0,1,1,1,0,1,1,0,4130000
Delhi NCR,Sohna Road (Gurugram),110005,Apartment,2240,1751,4,4,4,2,7,10,1,3,Unfurnished,New,28.390168,77.042693,8,1,1,1,0,1,0,0,1,1,1,1,0,21920000
Hyderabad,Kukatpally,500035,Apartment,1149,976,2,2,2,3,4,10,3,1,Semi-Furnished,Good,17.496835,78.402301,10,1,1,1,0,1,0,1,1,1,1,1,1,9260000
Kolkata,Ballygunge,700018,Independent House,866,754,2,2,1,0,0,2,5,1,Unfurnished,New,22.52454,88.368156,4,1,1,0,0,0,0,1,1,0,0,0,0,13220000
Bengaluru,Koramangala,560019,Independent House,2209,1792,4,4,4,2,0,3,5,0,Semi-Furnished,New,12.951803,77.631469,3,0,0,1,0,0,0,0,1,0,1,0,0,38020000
Delhi NCR,Vasant Kunj (Delhi),110009,Independent House,1702,1446,3,3,3,1,0,1,0,2,Unfurnished,New,28.516735,77.139695,6,1,0,0,1,0,1,1,1,0,0,1,0,40720000
Delhi NCR,Vasant Kunj (Delhi),110033,Apartment,630,546,2,2,2,1,11,14,3,1,Semi-Furnished,Good,28.517188,77.156147,8,1,1,1,0,1,0,0,1,1,0,1,1,14900000
Delhi NCR,Cyber City (Gurugram),110040,Independent House,1005,834,2,2,2,2,0,1,3,1,Fully Furnished,New,28.493247,77.096135,4,1,0,1,0,0,0,0,1,0,1,0,0,19970000
Kolkata,Garia,700008,Apartment,990,853,2,2,2,3,12,22,8,2,Semi-Furnished,Average,22.470167,88.378171,9,1,1,1,0,1,0,1,1,1,0,1,1,5760000
